#1
double TVL(5456,2) # Time in h and T_VL in degC
15.393,17.76
15.394,17.6
15.395,17.41
15.396,17.25
15.397,17.05
15.398,16.87
15.399,16.67
15.4,16.44
15.401,16.29
15.402,16.08
15.403,15.93
15.404,15.69
15.405,15.51
15.406,15.39
15.407,15.23
15.408,15.12
15.409,14.98
15.41,14.87
15.411,14.78
15.412,14.67
15.413,14.59
15.414,14.5
15.415,14.4
15.416,14.35
15.417,14.26
15.418,14.21
15.419,14.11
15.42,14.03
15.421,13.98
15.422,13.92
15.423,13.87
15.424,13.8
15.425,13.74
15.426,13.69
15.427,13.62
15.428,13.57
15.429,13.5
15.43,13.44
15.431,13.39
15.432,13.31
15.433,13.26
15.434,13.16
15.435,13.08
15.436,13.01
15.437,12.94
15.438,12.87
15.439,12.8
15.44,12.71
15.441,12.66
15.442,12.57
15.443,12.51
15.444,12.44
15.445,12.36
15.446,12.3
15.447,12.23
15.448,12.16
15.449,12.09
15.45,12.03
15.451,11.99
15.452,11.93
15.453,11.89
15.454,11.84
15.455,11.78
15.456,11.74
15.457,11.69
15.458,11.66
15.459,11.61
15.46,11.57
15.461,11.55
15.462,11.51
15.463,11.47
15.464,11.43
15.465,11.39
15.466,11.37
15.467,11.33
15.468,11.31
15.469,11.27
15.47,11.24
15.471,11.21
15.472,11.18
15.473,11.16
15.474,11.12
15.475,11.09
15.476,11.07
15.477,11.04
15.478,11.01
15.479,10.97
15.48,10.94
15.481,10.91
15.482,10.87
15.483,10.85
15.484,10.81
15.485,10.76
15.486,10.75
15.487,10.71
15.488,10.67
15.489,10.65
15.49,10.6
15.491,10.58
15.492,10.53
15.493,10.51
15.494,10.46
15.495,10.44
15.496,10.41
15.497,10.37
15.498,10.35
15.499,10.3
15.5,10.28
15.501,10.25
15.502,10.21
15.503,10.19
15.504,10.16
15.505,10.13
15.506,10.12
15.507,10.09
15.508,10.05
15.509,10.03
15.51,10
15.511,9.98
15.512,9.95
15.513,9.93
15.514,9.9
15.515,9.88
15.516,9.85
15.517,9.82
15.518,9.8
15.519,9.77
15.52,9.75
15.521,9.73
15.522,9.71
15.523,9.7
15.528,9.71
15.529,9.72
15.53,9.74
15.531,9.77
15.532,9.79
15.533,9.81
15.534,9.85
15.535,9.87
15.536,9.9
15.537,9.93
15.538,9.96
15.539,10
15.54,10.03
15.541,10.05
15.542,10.09
15.543,10.11
15.544,10.14
15.545,10.17
15.546,10.19
15.547,10.21
15.548,10.25
15.549,10.26
15.55,10.27
15.551,10.3
15.552,10.32
15.554,10.33
15.555,10.34
15.556,10.35
15.557,10.37
15.56,10.39
15.563,10.41
15.564,10.39
15.567,10.42
15.568,10.44
15.571,10.46
15.572,10.48
15.573,10.5
15.575,10.51
15.576,10.53
15.577,10.55
15.578,10.57
15.579,10.58
15.58,10.6
15.581,10.62
15.583,10.64
15.584,10.66
15.592,10.65
15.593,10.64
15.595,10.6
15.596,10.58
15.597,10.55
15.598,10.51
15.599,10.48
15.6,10.44
15.601,10.41
15.602,10.35
15.603,10.33
15.604,10.27
15.605,10.23
15.606,10.21
15.607,10.18
15.608,10.16
15.61,10.14
15.611,10.16
15.613,10.17
15.614,10.18
15.615,10.2
15.616,10.23
15.617,10.26
15.618,10.27
15.619,10.32
15.62,10.33
15.621,10.37
15.622,10.41
15.623,10.42
15.624,10.44
15.626,10.46
15.627,10.44
15.628,10.46
15.629,10.42
15.63,10.41
15.631,10.39
15.632,10.37
15.633,10.35
15.634,10.32
15.635,10.27
15.636,10.23
15.637,10.2
15.638,10.17
15.639,10.14
15.64,10.12
15.641,10.1
15.642,10.09
15.643,10.07
15.645,10.06
15.647,10.08
15.648,10.07
15.649,10.1
15.65,10.11
15.651,10.13
15.652,10.16
15.653,10.17
15.654,10.18
15.655,10.21
15.656,10.25
15.657,10.27
15.658,10.3
15.659,10.33
15.66,10.37
15.661,10.41
15.662,10.42
15.663,10.46
15.664,10.5
15.666,10.53
15.67,10.51
15.671,10.5
15.672,10.46
15.673,10.44
15.674,10.41
15.675,10.37
15.676,10.34
15.677,10.3
15.678,10.27
15.679,10.23
15.68,10.19
15.681,10.16
15.683,10.13
15.685,10.11
15.688,10.12
15.689,10.13
15.691,10.16
15.692,10.17
15.693,10.18
15.694,10.21
15.695,10.25
15.696,10.27
15.697,10.32
15.698,10.33
15.699,10.37
15.7,10.41
15.701,10.42
15.703,10.46
15.707,10.44
15.708,10.42
15.709,10.41
15.71,10.37
15.711,10.34
15.712,10.3
15.713,10.27
15.714,10.23
15.715,10.19
15.716,10.16
15.717,10.13
15.718,10.12
15.719,10.09
15.72,10.07
15.721,10.06
15.725,10.07
15.726,10.08
15.727,10.09
15.728,10.11
15.729,10.12
15.731,10.16
15.732,10.18
15.733,10.2
15.734,10.25
15.735,10.26
15.736,10.3
15.737,10.33
15.738,10.35
15.739,10.39
15.74,10.41
15.741,10.42
15.742,10.44
15.744,10.42
15.745,10.41
15.746,10.39
15.747,10.37
15.748,10.35
15.749,10.32
15.75,10.28
15.751,10.23
15.752,10.2
15.753,10.18
15.754,10.14
15.755,10.11
15.756,10.08
15.757,10.05
15.758,10.04
15.76,10.02
15.763,10.03
15.764,10.04
15.765,10.05
15.766,10.07
15.767,10.08
15.768,10.1
15.769,10.12
15.77,10.16
15.771,10.17
15.772,10.2
15.773,10.23
15.774,10.26
15.775,10.3
15.776,10.33
15.777,10.35
15.778,10.37
15.78,10.41
15.782,10.39
15.784,10.37
15.785,10.35
15.786,10.32
15.787,10.28
15.788,10.26
15.789,10.21
15.79,10.17
15.791,10.14
15.792,10.12
15.793,10.09
15.794,10.06
15.795,10.03
15.796,10.02
15.799,9.98
15.8,10
15.803,10.01
15.804,10.03
15.805,10.05
15.806,10.06
15.807,10.08
15.808,10.1
15.809,10.13
15.81,10.16
15.811,10.18
15.812,10.21
15.813,10.25
15.814,10.26
15.815,10.32
15.816,10.33
15.817,10.35
15.818,10.37
15.822,10.35
15.823,10.34
15.824,10.3
15.825,10.28
15.826,10.25
15.827,10.21
15.828,10.17
15.829,10.12
15.83,10.1
15.831,10.06
15.832,10.03
15.833,10.01
15.834,9.98
15.835,9.96
15.836,9.95
15.838,9.94
15.841,9.96
15.842,9.97
15.843,10
15.844,10.01
15.845,10.03
15.846,10.05
15.847,10.07
15.848,10.1
15.849,10.13
15.85,10.16
15.851,10.17
15.852,10.23
15.853,10.25
15.854,10.26
15.855,10.3
15.856,10.32
15.859,10.33
15.861,10.3
15.862,10.28
15.863,10.26
15.864,10.21
15.865,10.18
15.866,10.14
15.867,10.12
15.868,10.09
15.869,10.05
15.87,10.02
15.871,9.98
15.872,9.96
15.873,9.94
15.874,9.92
15.875,9.91
15.879,9.92
15.88,9.93
15.881,9.94
15.882,9.96
15.883,9.97
15.884,10
15.885,10.02
15.886,10.04
15.887,10.06
15.888,10.09
15.889,10.12
15.89,10.16
15.891,10.17
15.892,10.21
15.893,10.25
15.894,10.26
15.895,10.28
15.896,10.3
15.899,10.28
15.9,10.27
15.901,10.26
15.902,10.23
15.903,10.2
15.904,10.17
15.905,10.13
15.906,10.1
15.907,10.05
15.908,10.02
15.909,9.98
15.91,9.95
15.911,9.92
15.912,9.9
15.913,9.88
15.914,9.87
15.915,9.86
15.916,9.87
15.917,9.86
15.919,9.88
15.92,9.9
15.921,9.91
15.922,9.93
15.923,9.95
15.924,9.97
15.925,10.01
15.926,10.02
15.927,10.05
15.928,10.07
15.929,10.1
15.93,10.14
15.931,10.16
15.932,10.18
15.933,10.2
15.934,10.25
15.939,10.23
15.94,10.21
15.941,10.19
15.942,10.14
15.943,10.13
15.944,10.09
15.945,10.05
15.946,10.01
15.947,9.97
15.948,9.94
15.949,9.91
15.95,9.88
15.951,9.86
15.952,9.83
15.953,9.82
15.954,9.81
15.957,9.82
15.958,9.83
15.959,9.84
15.961,9.87
15.962,9.89
15.963,9.91
15.964,9.93
15.965,9.96
15.966,9.98
15.967,10.03
15.968,10.06
15.969,10.08
15.97,10.11
15.971,10.14
15.972,10.17
15.973,10.18
15.974,10.2
15.976,10.23
15.977,10.21
15.978,10.2
15.979,10.19
15.98,10.17
15.981,10.14
15.982,10.11
15.983,10.08
15.984,10.04
15.985,10
15.986,9.97
15.987,9.93
15.988,9.9
15.989,9.87
15.99,9.85
15.991,9.82
15.992,9.81
15.993,9.79
15.996,9.8
15.998,9.81
15.999,9.83
16,9.84
16.001,9.85
16.002,9.88
16.003,9.89
16.004,9.92
16.005,9.95
16.006,9.97
16.007,10.01
16.008,10.04
16.009,10.07
16.01,10.1
16.011,10.12
16.012,10.16
16.013,10.17
16.014,10.18
16.016,10.19
16.017,10.17
16.018,10.16
16.019,10.14
16.02,10.13
16.021,10.11
16.022,10.07
16.023,10.04
16.024,10
16.025,9.95
16.026,9.92
16.027,9.87
16.028,9.84
16.029,9.81
16.03,9.79
16.031,9.77
16.032,9.76
16.034,9.74
16.035,9.75
16.037,9.76
16.038,9.77
16.039,9.79
16.04,9.8
16.041,9.82
16.042,9.85
16.043,9.87
16.044,9.89
16.045,9.92
16.046,9.95
16.047,9.98
16.048,10.01
16.049,10.04
16.05,10.07
16.051,10.09
16.052,10.12
16.053,10.14
16.054,10.16
16.056,10.17
16.057,10.16
16.058,10.14
16.059,10.13
16.06,10.11
16.061,10.09
16.062,10.05
16.063,10.02
16.064,9.98
16.065,9.93
16.066,9.9
16.067,9.86
16.068,9.84
16.069,9.81
16.07,9.77
16.071,9.76
16.072,9.74
16.073,9.73
16.076,9.74
16.077,9.75
16.078,9.76
16.079,9.77
16.08,9.79
16.081,9.8
16.082,9.82
16.083,9.85
16.084,9.87
16.085,9.9
16.086,9.92
16.087,9.97
16.088,9.98
16.089,10.01
16.09,10.05
16.091,10.07
16.092,10.1
16.093,10.12
16.094,10.13
16.095,10.14
16.096,10.13
16.097,10.12
16.098,10.13
16.099,10.1
16.1,10.07
16.101,10.05
16.102,10.01
16.103,9.96
16.104,9.92
16.105,9.88
16.106,9.84
16.107,9.8
16.108,9.78
16.109,9.75
16.11,9.72
16.111,9.71
16.112,9.69
16.113,9.68
16.116,9.69
16.117,9.7
16.118,9.71
16.119,9.72
16.12,9.74
16.121,9.76
16.122,9.78
16.123,9.8
16.124,9.82
16.125,9.86
16.126,9.88
16.127,9.92
16.128,9.94
16.129,9.97
16.13,10.01
16.131,10.03
16.132,10.07
16.133,10.08
16.134,10.09
16.135,10.12
16.138,10.11
16.139,10.1
16.14,10.07
16.141,10.05
16.142,10.01
16.143,9.98
16.144,9.93
16.145,9.89
16.146,9.85
16.147,9.81
16.148,9.78
16.149,9.75
16.15,9.71
16.151,9.7
16.152,9.67
16.153,9.66
16.158,9.67
16.159,9.68
16.16,9.7
16.161,9.71
16.162,9.73
16.163,9.75
16.164,9.78
16.165,9.8
16.166,9.83
16.167,9.86
16.168,9.89
16.169,9.92
16.17,9.96
16.171,9.98
16.172,10.02
16.173,10.04
16.174,10.07
16.175,10.09
16.177,10.11
16.179,10.1
16.18,10.09
16.181,10.07
16.182,10.05
16.183,10.02
16.184,9.98
16.185,9.93
16.186,9.89
16.187,9.85
16.188,9.8
16.189,9.77
16.19,9.74
16.191,9.72
16.192,9.68
16.193,9.67
16.195,9.65
16.196,9.66
16.2,9.67
16.202,9.7
16.203,9.71
16.204,9.74
16.205,9.77
16.206,9.78
16.207,9.81
16.208,9.83
16.209,9.87
16.21,9.9
16.211,9.92
16.212,9.96
16.213,9.98
16.214,10.01
16.215,10.04
16.216,10.05
16.22,10.03
16.221,10.02
16.222,9.98
16.223,9.97
16.224,9.93
16.225,9.89
16.226,9.86
16.227,9.81
16.228,9.79
16.229,9.75
16.23,9.7
16.231,9.68
16.233,9.65
16.234,9.63
16.235,9.62
16.238,9.63
16.239,9.64
16.24,9.65
16.241,9.66
16.242,9.67
16.243,9.68
16.244,9.7
16.245,9.73
16.246,9.75
16.247,9.78
16.248,9.8
16.249,9.83
16.25,9.86
16.251,9.89
16.252,9.92
16.253,9.94
16.254,9.98
16.255,10.01
16.256,10.03
16.257,10.05
16.258,10.07
16.259,10.1
16.26,10.12
16.261,10.14
16.262,10.16
16.264,10.17
16.265,10.18
16.268,10.19
16.269,10.18
16.271,10.19
16.272,10.18
16.278,10.17
16.282,10.19
16.285,10.2
16.287,10.19
16.288,10.18
16.289,10.17
16.29,10.16
16.291,10.14
16.292,10.13
16.293,10.11
16.294,10.07
16.295,10.04
16.296,10
16.297,9.96
16.298,9.92
16.299,9.87
16.3,9.81
16.301,9.78
16.302,9.73
16.303,9.69
16.304,9.66
16.305,9.64
16.306,9.61
16.307,9.6
16.308,9.59
16.311,9.61
16.312,9.63
16.313,9.64
16.314,9.66
16.315,9.68
16.316,9.69
16.317,9.72
16.318,9.74
16.319,9.78
16.32,9.81
16.321,9.84
16.322,9.86
16.323,9.88
16.324,9.89
16.326,9.88
16.327,9.87
16.328,9.86
16.329,9.84
16.33,9.81
16.331,9.79
16.332,9.75
16.333,9.71
16.334,9.67
16.335,9.64
16.336,9.6
16.337,9.55
16.338,9.53
16.339,9.5
16.34,9.47
16.341,9.45
16.342,9.44
16.343,9.43
16.346,9.42
16.347,9.44
16.348,9.45
16.349,9.46
16.35,9.47
16.351,9.49
16.352,9.51
16.353,9.53
16.354,9.56
16.355,9.58
16.356,9.6
16.357,9.63
16.358,9.66
16.359,9.68
16.36,9.71
16.361,9.74
16.362,9.77
16.363,9.79
16.364,9.82
16.365,9.85
16.366,9.88
16.367,9.9
16.368,9.91
16.369,9.93
16.37,9.95
16.371,9.96
16.372,9.97
16.373,9.98
16.374,10
16.375,9.98
16.383,10
16.384,9.98
16.386,10
16.387,9.98
16.388,10
16.393,10.01
16.394,10.02
16.395,10.03
16.396,10.04
16.397,10.05
16.398,10.06
16.399,10.07
16.402,10.06
16.403,10.05
16.404,10.04
16.405,10.02
16.406,10
16.407,9.97
16.408,9.94
16.409,9.89
16.41,9.86
16.411,9.81
16.412,9.76
16.413,9.73
16.414,9.68
16.415,9.65
16.416,9.62
16.417,9.59
16.418,9.57
16.419,9.54
16.42,9.53
16.423,9.54
16.424,9.55
16.425,9.56
16.426,9.57
16.427,9.59
16.428,9.61
16.429,9.64
16.43,9.66
16.431,9.67
16.432,9.71
16.433,9.73
16.434,9.76
16.435,9.79
16.436,9.81
16.437,9.83
16.438,9.84
16.442,9.82
16.443,9.81
16.444,9.79
16.445,9.75
16.446,9.72
16.447,9.68
16.448,9.65
16.449,9.61
16.45,9.57
16.451,9.54
16.452,9.51
16.453,9.48
16.454,9.46
16.455,9.43
16.456,9.42
16.457,9.4
16.461,9.41
16.462,9.42
16.463,9.43
16.464,9.44
16.465,9.46
16.466,9.48
16.467,9.49
16.468,9.51
16.469,9.54
16.47,9.57
16.471,9.6
16.472,9.63
16.473,9.65
16.474,9.67
16.475,9.7
16.476,9.72
16.477,9.76
16.478,9.78
16.479,9.81
16.48,9.83
16.481,9.85
16.482,9.87
16.483,9.89
16.484,9.91
16.486,9.93
16.487,9.95
16.488,9.96
16.489,9.97
16.49,9.96
16.491,9.97
16.498,9.96
16.499,9.97
16.502,9.96
16.503,9.97
16.507,9.98
16.509,10
16.511,10.01
16.512,10.02
16.513,10.03
16.514,10.04
16.515,10.03
16.516,10.04
16.517,10.03
16.518,10.04
16.519,10.02
16.52,10.01
16.521,9.98
16.522,9.97
16.523,9.95
16.524,9.91
16.525,9.87
16.526,9.84
16.527,9.79
16.528,9.76
16.529,9.71
16.53,9.67
16.531,9.64
16.532,9.6
16.533,9.57
16.534,9.55
16.535,9.53
16.536,9.52
16.537,9.51
16.54,9.53
16.541,9.54
16.542,9.55
16.543,9.57
16.544,9.59
16.545,9.61
16.546,9.63
16.547,9.66
16.548,9.68
16.549,9.7
16.55,9.73
16.551,9.76
16.552,9.78
16.553,9.8
16.554,9.82
16.556,9.85
16.559,9.84
16.56,9.82
16.561,9.81
16.562,9.78
16.563,9.75
16.564,9.72
16.565,9.67
16.566,9.65
16.567,9.61
16.568,9.58
16.569,9.55
16.57,9.51
16.571,9.49
16.572,9.46
16.573,9.44
16.574,9.42
16.575,9.41
16.576,9.4
16.581,9.41
16.582,9.43
16.583,9.44
16.584,9.46
16.585,9.47
16.586,9.49
16.587,9.51
16.588,9.53
16.589,9.56
16.59,9.59
16.591,9.61
16.592,9.64
16.593,9.67
16.594,9.69
16.595,9.72
16.596,9.74
16.597,9.77
16.598,9.79
16.599,9.82
16.6,9.84
16.601,9.85
16.602,9.88
16.603,9.9
16.604,9.92
16.605,9.94
16.606,9.95
16.608,9.97
16.609,9.98
16.61,10
16.619,9.98
16.62,10
16.629,10.01
16.631,10.02
16.632,10.01
16.633,10.03
16.634,10.04
16.636,10.05
16.638,10.04
16.64,10.03
16.641,10.02
16.642,10
16.643,9.98
16.644,9.96
16.645,9.93
16.646,9.9
16.647,9.86
16.648,9.83
16.649,9.78
16.65,9.74
16.651,9.71
16.652,9.66
16.653,9.64
16.654,9.61
16.655,9.58
16.656,9.56
16.657,9.54
16.658,9.53
16.661,9.54
16.663,9.55
16.664,9.57
16.665,9.58
16.666,9.6
16.667,9.62
16.668,9.64
16.669,9.66
16.67,9.68
16.671,9.7
16.672,9.73
16.673,9.75
16.674,9.78
16.675,9.8
16.676,9.82
16.677,9.83
16.678,9.84
16.681,9.83
16.682,9.82
16.683,9.81
16.684,9.79
16.685,9.76
16.686,9.73
16.687,9.7
16.688,9.67
16.689,9.64
16.69,9.6
16.691,9.58
16.692,9.54
16.693,9.52
16.694,9.49
16.695,9.47
16.696,9.45
16.697,9.43
16.698,9.42
16.699,9.41
16.703,9.42
16.705,9.43
16.706,9.44
16.707,9.45
16.708,9.47
16.709,9.48
16.71,9.5
16.711,9.52
16.712,9.54
16.713,9.56
16.714,9.59
16.715,9.61
16.716,9.63
16.718,9.67
16.719,9.7
16.72,9.73
16.721,9.75
16.722,9.77
16.723,9.8
16.724,9.82
16.725,9.85
16.726,9.86
16.727,9.89
16.728,9.92
16.729,9.93
16.73,9.94
16.731,9.96
16.732,9.98
16.733,10
16.735,10.01
16.736,10.02
16.738,10.03
16.74,10.04
16.741,10.03
16.753,10.05
16.754,10.04
16.755,10.05
16.758,10.06
16.76,10.07
16.761,10.06
16.762,10.07
16.764,10.06
16.765,10.07
16.766,10.05
16.767,10.04
16.768,10.03
16.769,10.01
16.77,9.98
16.771,9.97
16.772,9.94
16.773,9.91
16.774,9.87
16.775,9.83
16.776,9.8
16.777,9.76
16.778,9.73
16.779,9.69
16.78,9.65
16.781,9.64
16.782,9.61
16.783,9.59
16.784,9.58
16.785,9.56
16.789,9.57
16.79,9.58
16.792,9.6
16.793,9.61
16.794,9.63
16.795,9.66
16.796,9.67
16.797,9.69
16.798,9.7
16.799,9.73
16.8,9.75
16.801,9.77
16.802,9.79
16.804,9.8
16.807,9.79
16.808,9.78
16.809,9.77
16.81,9.75
16.811,9.73
16.812,9.69
16.813,9.68
16.814,9.65
16.815,9.63
16.816,9.6
16.817,9.57
16.818,9.55
16.819,9.53
16.82,9.5
16.821,9.49
16.822,9.47
16.823,9.46
16.824,9.45
16.825,9.44
16.828,9.45
16.83,9.46
16.832,9.47
16.833,9.48
16.834,9.5
16.835,9.51
16.836,9.52
16.837,9.54
16.838,9.55
16.839,9.57
16.84,9.59
16.841,9.61
16.842,9.63
16.843,9.65
16.844,9.67
16.845,9.68
16.846,9.7
16.847,9.72
16.848,9.74
16.849,9.76
16.85,9.78
16.851,9.8
16.852,9.82
16.853,9.84
16.854,9.86
16.855,9.88
16.856,9.9
16.857,9.92
16.858,9.93
16.859,9.95
16.86,9.97
16.861,9.98
16.862,10
16.863,10.01
16.864,10.02
16.865,10.03
16.866,10.04
16.867,10.05
16.868,10.04
16.869,10.06
16.871,10.07
16.874,10.08
16.876,10.09
16.877,10.08
16.878,10.09
16.883,10.1
16.887,10.11
16.888,10.1
16.89,10.11
16.892,10.1
16.894,10.09
16.895,10.08
16.896,10.07
16.897,10.05
16.898,10.04
16.899,10.01
16.9,9.98
16.901,9.95
16.902,9.91
16.903,9.88
16.904,9.83
16.905,9.8
16.906,9.78
16.907,9.74
16.908,9.72
16.909,9.68
16.911,9.65
16.912,9.62
16.913,9.61
16.914,9.6
16.915,9.59
16.918,9.6
16.92,9.61
16.921,9.62
16.922,9.64
16.923,9.65
16.924,9.66
16.925,9.68
16.926,9.69
16.927,9.71
16.928,9.73
16.929,9.75
16.93,9.77
16.931,9.78
16.933,9.8
16.935,9.79
16.937,9.78
16.938,9.77
16.939,9.75
16.94,9.73
16.941,9.71
16.942,9.69
16.943,9.67
16.944,9.65
16.945,9.63
16.946,9.6
16.947,9.58
16.948,9.57
16.949,9.55
16.95,9.53
16.951,9.52
16.953,9.51
16.957,9.52
16.959,9.53
16.961,9.55
16.962,9.56
16.963,9.57
16.964,9.58
16.965,9.6
16.966,9.61
16.967,9.62
16.968,9.63
16.969,9.65
16.971,9.67
16.972,9.69
16.973,9.7
16.974,9.72
16.975,9.74
16.976,9.77
16.977,9.78
16.978,9.79
16.979,9.81
16.98,9.83
16.981,9.84
16.982,9.86
16.983,9.88
16.984,9.89
16.985,9.91
16.986,9.93
16.987,9.94
16.988,9.96
16.989,9.97
16.99,10
16.991,10.01
16.993,10.02
16.996,10.03
16.997,10.01
16.998,10
17,9.98
17.001,9.96
17.002,9.94
17.003,9.92
17.004,9.89
17.005,9.86
17.006,9.83
17.007,9.79
17.008,9.77
17.009,9.73
17.01,9.71
17.011,9.68
17.012,9.66
17.013,9.65
17.014,9.63
17.015,9.61
17.016,9.6
17.017,9.59
17.018,9.58
17.019,9.57
17.021,9.58
17.022,9.57
17.024,9.59
17.025,9.6
17.027,9.62
17.028,9.63
17.029,9.64
17.03,9.66
17.031,9.67
17.032,9.68
17.033,9.7
17.034,9.72
17.035,9.74
17.036,9.76
17.037,9.78
17.038,9.8
17.039,9.82
17.04,9.85
17.041,9.87
17.042,9.89
17.043,9.9
17.044,9.92
17.045,9.93
17.047,9.95
17.048,9.96
17.049,9.95
17.051,9.94
17.052,9.93
17.053,9.92
17.054,9.9
17.055,9.88
17.056,9.86
17.057,9.84
17.058,9.82
17.059,9.79
17.06,9.77
17.061,9.75
17.062,9.72
17.063,9.7
17.064,9.68
17.065,9.66
17.066,9.65
17.067,9.63
17.068,9.62
17.069,9.61
17.071,9.6
17.072,9.59
17.073,9.6
17.075,9.61
17.076,9.6
17.077,9.61
17.079,9.62
17.081,9.64
17.082,9.66
17.084,9.67
17.085,9.68
17.086,9.7
17.087,9.71
17.088,9.72
17.089,9.74
17.09,9.76
17.091,9.77
17.092,9.79
17.093,9.81
17.094,9.82
17.095,9.84
17.096,9.86
17.097,9.89
17.098,9.9
17.099,9.92
17.1,9.94
17.101,9.95
17.102,9.97
17.103,9.98
17.105,10.01
17.113,9.98
17.114,9.97
17.115,9.94
17.116,9.92
17.117,9.9
17.118,9.88
17.119,9.86
17.12,9.83
17.121,9.81
17.122,9.79
17.123,9.76
17.124,9.74
17.125,9.72
17.126,9.7
17.127,9.68
17.128,9.67
17.129,9.66
17.131,9.65
17.132,9.64
17.133,9.65
17.139,9.66
17.141,9.67
17.142,9.68
17.143,9.69
17.144,9.7
17.145,9.72
17.146,9.73
17.147,9.74
17.148,9.75
17.149,9.77
17.15,9.79
17.151,9.8
17.152,9.82
17.153,9.83
17.154,9.85
17.155,9.87
17.156,9.89
17.157,9.91
17.158,9.92
17.159,9.95
17.16,9.97
17.161,9.98
17.162,10
17.163,10.01
17.164,10.02
17.165,10.04
17.166,10.05
17.167,10.06
17.168,10.05
17.17,10.06
17.171,10.04
17.173,10.03
17.174,10.01
17.175,9.98
17.176,9.97
17.177,9.95
17.178,9.93
17.179,9.91
17.18,9.89
17.181,9.87
17.182,9.84
17.183,9.82
17.184,9.8
17.185,9.78
17.186,9.76
17.187,9.74
17.188,9.72
17.189,9.71
17.19,9.7
17.191,9.69
17.192,9.68
17.195,9.67
17.197,9.68
17.198,9.67
17.2,9.69
17.201,9.7
17.203,9.71
17.204,9.72
17.206,9.74
17.207,9.76
17.208,9.77
17.209,9.79
17.21,9.8
17.211,9.81
17.212,9.83
17.213,9.84
17.214,9.86
17.215,9.88
17.216,9.89
17.217,9.91
17.218,9.93
17.219,9.95
17.22,9.96
17.221,9.98
17.223,10.01
17.224,10.03
17.225,10.04
17.226,10.05
17.228,10.07
17.229,10.08
17.231,10.07
17.233,10.06
17.234,10.05
17.235,10.03
17.236,10.02
17.237,10
17.238,9.98
17.239,9.97
17.24,9.94
17.241,9.93
17.242,9.9
17.243,9.89
17.244,9.86
17.245,9.84
17.246,9.82
17.247,9.8
17.248,9.78
17.249,9.76
17.25,9.75
17.251,9.74
17.252,9.73
17.253,9.72
17.255,9.71
17.259,9.72
17.262,9.73
17.263,9.74
17.264,9.75
17.265,9.76
17.266,9.77
17.267,9.78
17.268,9.79
17.269,9.8
17.27,9.81
